Geneid	gene_name	mock.FE01_40	PFK158.FE01_13	unlabled.FE01_22	mock.FE01_30	DMSO.FE01_41	DMSO.FE01_31	DMSO.FE01_21	PFK158.FE01_33	mock.FE01_10	DMSO.FE01_11	unlabled.FE01_12	unlabled.FE01_32	PFK158.FE01_23	PFK158.FE01_43	mock.FE01_20	unlabled.FE01_42
ENSG00000236679	RPL23AP24	0	1	0	1	2	1	1	4	3	2	0	0	1	1	1	0
ENSG00000236601	AL732372.1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000237094	AL732372.2	6	3	5	7	10	8	9	7	14	5	6	6	10	14	10	4
ENSG00000269732	WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	AL732372.3	5	0	1	2	1	0	0	1	0	0	5	0	2	1	0	1
ENSG00000278757	RF00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	AL669831.3	0	1	3	3	7	3	9	8	8	9	16	2	15	16	1	1
ENSG00000235146	AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	MTND1P23	19	10	15	17	9	34	17	23	18	21	12	13	20	11	11	13
ENSG00000225630	MTND2P28	350	311	202	434	437	652	222	412	799	277	313	102	529	458	263	204
ENSG00000237973	MTCO1P12	1268	819	1070	1132	1247	1802	1170	1088	1773	947	1599	561	1242	1268	2003	1962
ENSG00000278791	AC114498.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	MTCO2P12	71	34	80	44	53	83	61	63	63	51	42	30	66	62	75	85
ENSG00000240409	MTATP8P1	2	0	2	4	1	1	1	4	1	3	3	1	2	0	0	0
ENSG00000248527	MTATP6P1	24402	14296	19170	17568	18491	24940	17949	17843	33880	20619	27111	10191	23427	17602	35667	31585
ENSG00000198744	MTCO3P12	110	48	80	97	92	128	101	103	118	51	44	35	111	91	76	59
ENSG00000268663	WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000284662	OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	CICP3	1	0	3	0	2	1	1	1	5	2	3	1	4	1	4	0
ENSG00000228327	AL669831.1	60	32	52	64	84	127	80	94	129	73	77	52	155	171	118	74
ENSG00000223181	RNU6-1199P	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0
ENSG00000229905	AL669831.2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1
ENSG00000237491	AL669831.5	51	49	45	54	36	64	48	52	79	45	89	33	74	52	95	77
ENSG00000285268	AL669831.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	AL669831.4	15	13	15	18	7	11	14	12	14	15	22	7	21	13	25	24
ENSG00000177757	FAM87B	1	4	2	2	2	5	6	1	8	3	4	2	7	9	15	3
ENSG00000228794	LINC01128	426	341	359	325	300	390	363	344	521	431	535	200	436	409	755	599
ENSG00000225880	LINC00115	62	61	43	47	39	52	63	77	93	111	79	40	52	74	97	87
ENSG00000230368	FAM41C	0	2	0	0	2	0	2	4	1	3	3	0	1	2	4	0
ENSG00000234711	TUBB8P11	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	1
ENSG00000283040	AL669831.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	AL645608.6	48	48	53	40	38	57	48	63	65	96	94	32	40	45	104	46
ENSG00000230699	AL645608.2	117	92	75	84	75	151	128	125	231	136	194	64	138	157	164	83
ENSG00000241180	AL645608.4	7	8	12	5	5	4	7	5	11	30	18	6	6	0	22	14
ENSG00000223764	LINC02593	2028	1958	1929	2050	1863	2036	2121	2010	3080	3699	4023	1324	2205	2620	5159	3625
ENSG00000187634	SAMD11	2404	2855	2793	2814	2374	2806	2973	2650	3392	5510	6836	1863	2961	3326	6353	4721
ENSG00000188976	NOC2L	10454	12694	12109	12955	10795	12023	13225	10960	15774	18474	23352	6938	12430	14119	29791	18543
ENSG00000187961	KLHL17	1593	1536	1619	1454	1241	1556	1926	1484	2483	2540	3397	1100	1614	1918	3662	2646
ENSG00000187583	PLEKHN1	67	101	63	73	64	112	73	97	106	192	187	74	70	97	177	151
ENSG00000187642	PERM1	22	73	54	31	26	57	46	69	64	114	112	40	31	28	77	120
ENSG00000272512	AL645608.7	231	356	417	178	334	186	612	213	316	768	751	109	512	456	552	619
ENSG00000188290	HES4	12332	14794	18324	16403	10512	13790	16115	15877	14391	36569	54807	15938	10513	12770	60516	56989
ENSG00000187608	ISG15	287	538	514	348	265	330	449	396	451	1057	1325	310	331	349	1349	1127
ENSG00000231702	AL645608.3	0	2	1	0	0	4	3	3	3	2	3	1	3	3	3	1
ENSG00000224969	AL645608.1	21	30	20	29	22	19	24	20	41	38	31	14	43	19	54	22
ENSG00000188157	AGRN	4259	3749	3080	3167	3231	3493	4423	2944	7193	6676	7921	1636	4875	4727	9704	4089
ENSG00000242590	AL645608.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	AL390719.1	434	845	690	794	503	708	579	761	710	1192	1692	485	421	620	1181	1333
ENSG00000273443	AL645608.8	30	29	30	34	35	49	41	42	44	44	41	21	24	52	33	44
ENSG00000237330	RNF223	4	7	10	13	3	13	7	22	10	15	40	5	14	12	9	24
ENSG00000131591	C1orf159	1167	1320	1249	1124	1056	1226	1490	1282	1784	2476	2652	815	1393	1456	3454	2428
ENSG00000285812	AL390719.3	77	121	137	57	59	57	97	121	137	248	183	77	90	52	435	360
ENSG00000223823	LINC01342	1	0	0	0	1	1	0	0	0	0	0	0	1	0	4	1
ENSG00000207730	MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	MIR200A	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	AL390719.2	0	0	2	0	4	1	2	0	0	1	0	2	1	1	6	1
ENSG00000205231	TTLL10-AS1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	4	0
ENSG00000162571	TTLL10	0	0	1	1	0	1	4	1	5	3	0	0	3	3	1	3
ENSG00000186891	TNFRSF18	9	8	3	6	3	8	7	8	9	15	24	5	15	10	15	6
ENSG00000186827	TNFRSF4	1	3	0	2	0	1	3	3	7	5	6	2	0	1	7	3
ENSG00000078808	SDF4	6073	6980	7464	6567	6226	6936	7356	6931	9022	12776	14083	4429	6494	7391	18062	14357
ENSG00000176022	B3GALT6	4098	4706	6169	4235	4117	4466	5417	4517	5029	8467	11080	3627	4275	5051	13181	12249
ENSG00000184163	C1QTNF12	67	107	61	69	45	65	66	62	91	152	236	62	71	51	251	165
ENSG00000260179	AL162741.1	34	51	37	28	19	35	55	34	60	79	80	19	28	28	132	81
ENSG00000160087	UBE2J2	3204	4314	4850	3346	2743	3245	4011	3672	4334	7393	9414	2800	3583	3577	11187	9300
ENSG00000230415	LINC01786	43	37	49	46	40	43	59	49	40	72	98	49	57	63	98	129
ENSG00000162572	SCNN1D	328	314	333	325	305	407	473	418	470	720	753	267	401	493	849	716
ENSG00000131584	ACAP3	1675	1822	1735	1708	1558	1930	2136	1894	2381	3696	3748	1245	1811	2168	4420	3146
ENSG00000278073	MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	PUSL1	1134	1943	1944	1553	1313	1516	1725	1673	1792	3676	4347	1414	1345	1530	4669	4287
ENSG00000127054	INTS11	3719	4380	4515	4338	3830	4669	4448	4472	5439	7729	8554	2949	4235	4878	9902	8348
ENSG00000283712	MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	AL139287.1	177	259	240	160	164	200	219	217	267	404	333	125	157	160	534	409
ENSG00000224051	CPTP	930	928	871	661	732	757	937	729	1135	1785	1686	477	850	894	2420	1512
ENSG00000169962	TAS1R3	11	12	17	24	15	18	17	23	31	33	44	10	25	38	40	26
ENSG00000107404	DVL1	5429	5317	6858	6974	5482	5589	6420	5394	6461	10025	12956	3936	6181	7377	15805	12729
ENSG00000284372	MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	MXRA8	831	973	821	1064	847	1289	985	1179	1251	1502	1848	762	972	1238	1969	1493
ENSG00000175756	AURKAIP1	8402	12175	11904	10293	6539	7382	10838	8289	11774	25834	34478	7748	7510	7313	35810	27903
ENSG00000223663	NDUFB4P8	8	7	1	5	1	3	4	4	10	7	8	1	3	0	19	2
ENSG00000221978	CCNL2	5618	6122	5475	7039	5232	7374	6473	7605	9603	9781	11758	4559	5891	6705	11715	9798
ENSG00000224870	MRPL20-AS1	1263	1414	1522	1191	1274	1298	1449	1280	1844	2475	2674	827	1324	1656	3365	2553
ENSG00000242485	MRPL20	4680	6098	6911	4366	3912	4029	5378	4738	6273	9590	11719	3400	4199	4747	17343	13779
ENSG00000264293	RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	AL391244.2	323	406	353	258	164	196	340	238	495	616	907	308	308	238	761	582
ENSG00000235098	ANKRD65	77	97	91	79	64	75	90	91	109	168	152	62	100	98	235	137
ENSG00000225905	AL391244.1	3	2	0	2	2	0	1	1	2	3	5	1	1	1	16	3
ENSG00000205116	TMEM88B	4	3	3	0	0	1	4	4	1	12	7	0	0	1	5	3
ENSG00000225285	LINC01770	49	95	76	72	45	78	73	66	83	158	209	57	67	65	159	128
ENSG00000179403	VWA1	2138	2454	1948	2237	1451	1795	2068	1644	3356	5046	6086	1300	1918	1972	6180	3655
ENSG00000215915	ATAD3C	15	26	33	21	12	34	25	50	34	47	51	24	31	23	111	57
ENSG00000160072	ATAD3B	3116	4661	4558	3155	2788	2952	4493	3239	5009	9366	11667	2567	3238	3425	13236	8850
ENSG00000284740	AL645728.2	28	68	54	58	30	38	60	42	53	132	129	29	36	24	139	148
ENSG00000197785	ATAD3A	3144	3933	4315	3493	3310	3657	3947	3594	4159	7108	8527	2664	3314	3535	11378	9121
ENSG00000205090	TMEM240	34	40	16	28	33	25	43	26	50	80	57	7	35	23	99	36
ENSG00000160075	SSU72	6025	7460	7611	5172	4919	5408	7176	5593	7488	10818	12406	3795	5925	5877	18687	12486
ENSG00000215014	AL645728.1	105	144	138	123	102	115	153	137	136	188	260	67	99	117	279	260
ENSG00000274481	AL691432.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000228594	FNDC10	1553	1361	1374	1220	1118	1540	1545	1419	1661	2614	2667	1007	1426	1534	4822	3043
ENSG00000272106	AL691432.2	233	201	246	223	189	253	223	257	250	286	371	170	213	270	467	447
ENSG00000197530	MIB2	2033	2491	2472	2188	1731	1920	2634	2025	2382	5167	5710	1477	2138	2391	6084	4913
ENSG00000189409	MMP23B	30	30	27	12	13	9	33	21	27	57	62	20	27	27	92	52
ENSG00000248333	CDK11B	1362	1744	1838	1100	1157	1404	1556	1469	1748	2975	3061	898	1480	1461	4307	3570
ENSG00000272004	FO704657.1	4	2	0	3	0	2	4	3	7	4	11	0	15	9	2	6
ENSG00000189339	SLC35E2B	2401	1980	2278	2549	3015	3186	2700	2565	3200	2281	3200	1388	3454	3974	4671	3397
ENSG00000269737	AL691432.1	21	27	26	58	59	45	72	58	74	51	48	30	49	71	66	31
ENSG00000215914	MMP23A	4	2	4	4	2	1	4	7	3	17	8	3	3	1	14	10
ENSG00000008128	CDK11A	95	80	100	53	63	77	95	68	134	183	184	59	85	73	235	179
ENSG00000268575	AL031282.2	53	62	51	58	72	55	74	65	84	78	123	61	58	91	139	113
ENSG00000227775	AL031282.1	28	29	30	17	30	19	44	27	31	44	46	23	27	27	111	69
ENSG00000215790	SLC35E2A	718	647	777	704	781	797	826	823	765	871	960	504	717	853	1739	1531
ENSG00000008130	NADK	2857	3477	3562	3362	3305	3465	3631	3400	4446	5424	6736	2001	3366	4091	8387	5755
ENSG00000078369	GNB1	14944	14717	16451	13403	15031	14448	15238	13985	18667	17235	22474	7038	18144	20180	31211	24591
ENSG00000231050	AL109917.1	24	31	62	47	71	59	67	77	18	55	73	52	41	68	74	129
ENSG00000169885	CALML6	39	50	40	28	38	48	58	45	74	87	101	25	28	35	92	54
ENSG00000178821	TMEM52	450	537	580	493	535	740	615	696	665	969	944	500	493	726	1446	1381
ENSG00000142609	CFAP74	17	18	29	23	27	21	17	18	41	34	49	12	24	39	59	44
ENSG00000233542	AL391845.2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	4	0
ENSG00000187730	GABRD	323	342	443	371	371	477	491	556	413	581	603	331	334	405	1081	841
ENSG00000226969	AL391845.1	2	6	7	4	13	7	7	10	1	8	9	5	5	13	10	18
ENSG00000067606	PRKCZ	859	1038	1224	1311	1513	1596	1436	1328	1249	1539	1716	656	1256	1870	1888	2060
ENSG00000271806	AL590822.2	3	5	4	6	18	21	16	19	17	21	23	9	10	37	11	17
ENSG00000182873	PRKCZ-AS1	53	64	51	52	75	73	93	54	143	148	88	43	75	96	117	60
ENSG00000162585	FAAP20	1837	2221	2446	1998	1629	1850	2526	1993	2195	4803	5818	1674	1733	2065	7777	5688
ENSG00000234396	AL590822.1	0	10	3	0	0	3	8	6	4	6	9	4	7	2	11	9
ENSG00000157933	SKI	3072	2496	2515	2544	2605	2636	3067	2249	4047	3300	4365	1269	3977	3740	6030	3240
ENSG00000116151	MORN1	556	588	652	563	559	603	693	596	725	1121	1177	335	649	760	1537	1244
ENSG00000272161	AL589739.1	4	2	5	3	2	1	5	0	5	11	5	2	6	2	15	10
ENSG00000269896	AL513477.1	108	82	118	106	114	115	126	111	140	186	125	55	146	172	230	181
ENSG00000272420	AL513477.2	16	18	26	25	9	23	27	22	33	34	28	15	18	13	60	51
ENSG00000157916	RER1	4409	4973	5480	3396	3848	4157	4676	4301	6271	7781	9209	2710	4221	4510	12673	10426
ENSG00000157911	PEX10	817	915	971	1046	949	1076	1061	958	1250	1564	2039	551	1045	1226	1871	1486
ENSG00000149527	PLCH2	51	41	32	59	42	48	26	47	57	61	74	24	58	64	124	52
ENSG00000224387	AL139246.1	2	0	1	2	0	5	3	2	4	4	4	3	5	2	10	5
ENSG00000229393	AL139246.4	4	1	0	1	1	3	1	1	10	5	5	2	2	3	4	0
ENSG00000157881	PANK4	1336	1274	1391	1250	1124	1284	1398	1175	1691	2091	2588	741	1508	1450	3382	2206
ENSG00000197921	HES5	94	202	189	97	43	79	114	67	234	383	517	88	104	85	405	258
ENSG00000272449	AL139246.5	321	410	417	412	217	308	440	303	437	941	1312	277	230	314	1410	938
ENSG00000238164	TNFRSF14-AS1	5	3	5	4	5	0	5	1	3	4	10	0	2	8	6	3
ENSG00000157873	TNFRSF14	47	52	53	36	37	65	43	55	29	90	104	25	28	32	95	96
ENSG00000225931	AL139246.2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228037	AL139246.3	2	1	0	1	2	2	0	0	2	4	0	1	0	5	2	8
ENSG00000157870	PRXL2B	820	960	768	992	633	847	760	808	1369	1615	1960	509	925	892	1988	1171
ENSG00000142606	MMEL1	11	26	18	21	29	26	19	9	34	37	29	9	25	34	34	29
ENSG00000237058	AL831784.1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2
ENSG00000215912	TTC34	21	34	31	63	63	88	44	104	51	71	73	34	36	92	78	68
ENSG00000285945	AC242022.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	AC242022.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000233234	AL592464.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ENSG00000231630	AL592464.1	8	17	6	1	8	4	3	3	9	38	34	1	1	5	7	17
ENSG00000284745	AL589702.1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0
ENSG00000169717	ACTRT2	0	2	1	4	1	2	1	0	2	4	1	0	0	0	0	0
ENSG00000177133	LINC00982	255	210	270	202	217	309	271	309	284	455	538	221	225	272	691	736
ENSG00000142611	PRDM16	575	492	569	554	576	615	646	523	856	637	914	267	854	775	1255	862
ENSG00000283572	MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000226286	AL008733.1	0	5	0	3	4	4	3	0	0	1	0	1	2	4	1	2
ENSG00000279839	AL512383.1	5	8	7	15	9	9	13	12	10	11	10	16	7	10	19	38
ENSG00000272235	AL590438.1	3	3	0	13	11	11	6	15	8	10	12	0	4	19	8	4
ENSG00000130762	ARHGEF16	618	878	651	642	421	585	678	590	919	1510	1884	458	598	663	1772	1118
ENSG00000272088	AL512413.1	5	5	1	2	0	0	3	3	4	22	3	2	1	4	16	5
ENSG00000162591	MEGF6	386	510	296	463	318	414	433	410	678	785	1015	304	413	514	811	502
ENSG00000207776	MIR551A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000238260	AL513320.1	8	2	4	3	5	2	8	4	13	13	15	3	8	4	19	9
ENSG00000158109	TPRG1L	1096	1084	1021	768	675	591	850	699	1486	1701	1993	476	890	834	2519	1549
ENSG00000116213	WRAP73	1677	1811	1797	1746	1295	1581	1678	1591	2376	3191	3897	1133	1627	1563	4628	3070
ENSG00000078900	TP73	766	567	642	632	589	721	742	662	872	966	1044	360	866	984	1549	938
ENSG00000227589	AL136528.1	2	8	6	2	2	6	9	3	5	14	10	2	5	7	21	17
ENSG00000235131	AL136528.2	0	3	0	6	0	1	5	2	2	0	0	0	1	1	0	1
ENSG00000227372	TP73-AS1	1620	1518	1662	1552	1636	1688	1841	1591	2229	2094	2689	956	1875	2094	4010	2475
ENSG00000276189	RF02197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	CCDC27	15	8	8	9	9	3	13	11	6	25	25	4	4	13	40	7
ENSG00000235169	SMIM1	67	112	95	131	64	103	89	77	103	245	330	94	64	102	279	237
ENSG00000130764	LRRC47	3468	4155	4355	3284	3069	3366	4294	3572	4490	6310	7034	2191	3822	4094	9821	7319
ENSG00000266075	RN7SL574P	1	6	6	3	2	3	2	5	7	16	6	3	4	10	9	0
ENSG00000272153	AL365330.1	30	40	43	26	27	40	39	34	90	77	79	15	35	41	58	53
ENSG00000116198	CEP104	1444	1325	1493	1222	1470	1376	1635	1280	1908	1746	2246	646	1835	1847	3104	2137
ENSG00000169598	DFFB	555	590	632	661	453	574	572	541	856	765	1024	336	738	706	1254	938
ENSG00000198912	C1orf174	1117	1159	1293	822	907	928	1012	1032	1360	1480	1907	651	1117	1199	2677	2039
ENSG00000236423	LINC01134	19	26	28	19	29	16	35	28	30	56	76	14	27	41	69	50
ENSG00000233304	LINC01346	1	3	0	0	0	0	2	4	0	2	0	2	0	0	6	0
ENSG00000226374	LINC01345	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000284668	AL805961.1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	1
ENSG00000284703	AL805961.2	0	1	0	1	0	0	0	6	1	12	24	2	0	0	5	0
ENSG00000229280	EEF1DP6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000235054	LINC01777	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0
ENSG00000284694	AL355602.1	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
ENSG00000227169	Z98747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	LINC01646	0	0	0	0	0	0	0	1	0	4	13	1	0	0	2	0
ENSG00000196581	AJAP1	23	29	25	30	21	30	34	29	47	48	67	20	26	44	56	34
ENSG00000284739	BX005132.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	BX005132.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000231510	AL691497.1	0	0	0	0	1	0	0	0	0	1	3	0	0	0	1	0
ENSG00000284616	AL139823.1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0
ENSG00000284692	Z98259.3	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0
ENSG00000284666	Z98259.2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000260972	Z98259.1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000283356	Z97988.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000236948	AL365255.1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000264341	Z97988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	MIR4689	0	1	0	0	0	2	0	0	0	0	0	1	4	0	0	0
ENSG00000131697	NPHP4	788	820	830	908	1004	1076	1000	974	1164	1261	1522	596	972	1290	1876	1505
ENSG00000069424	KCNAB2	729	670	684	668	661	812	774	615	920	1055	1214	398	823	939	1661	992
ENSG00000116254	CHD5	27	25	29	20	21	16	26	19	73	61	74	13	31	30	70	39
ENSG00000285629	AL031847.2	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000116251	RPL22	8326	7648	10151	7412	7472	8594	8293	9317	8165	8842	11044	5821	7593	9293	18724	19542
ENSG00000226944	AL031847.1	16	11	4	8	2	13	12	8	2	9	21	9	11	20	25	26
ENSG00000158286	RNF207	146	156	166	208	159	224	223	199	267	260	292	111	209	223	391	243
ENSG00000116237	ICMT	8760	8800	8291	7319	6905	7565	7624	7508	12986	12253	14415	4151	8668	9065	17501	12922
ENSG00000225077	LINC00337	133	175	183	208	139	184	179	216	187	246	345	117	175	164	375	374
ENSG00000173673	HES3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000158292	GPR153	935	793	903	928	876	1026	938	1007	1176	1277	1510	596	1029	1248	2037	1643
ENSG00000097021	ACOT7	5507	7805	6804	6249	4816	5795	6440	5924	7873	11839	14311	3991	5962	5988	16541	11773
ENSG00000271746	AL031848.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	HES2	249	291	233	267	184	244	261	256	368	413	565	233	250	260	572	492
ENSG00000187017	ESPN	41	26	36	41	20	37	38	32	33	69	55	30	22	34	96	52
ENSG00000265392	MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	AL031848.1	0	0	1	2	0	1	2	1	0	0	4	1	0	0	2	3
ENSG00000215788	TNFRSF25	182	185	156	111	111	101	191	136	289	396	373	72	210	154	450	180
ENSG00000171680	PLEKHG5	440	459	449	530	441	599	500	532	684	686	854	397	563	693	810	755
ENSG00000162408	NOL9	1887	1846	2187	1554	1765	1777	2158	1745	2625	2835	2986	1304	2095	2434	4403	3417
ENSG00000253022	RNU6-731P	4	13	5	2	2	1	2	3	6	9	7	4	5	1	13	11
ENSG00000229519	AL591866.1	22	30	26	14	23	17	26	36	24	28	57	34	11	14	88	93
ENSG00000173662	TAS1R1	8	16	9	4	14	5	13	9	12	12	18	3	7	10	26	16
ENSG00000204859	ZBTB48	971	1179	1208	919	852	796	1174	955	1329	2332	2482	647	983	946	2773	1885
ENSG00000162413	KLHL21	2100	1927	1949	1949	1930	1757	2185	1612	3229	3249	3946	1010	2288	2365	4973	2692
ENSG00000116273	PHF13	1493	1325	1456	1042	1033	871	1430	809	1941	1938	2359	672	1429	1181	3414	1823
ENSG00000041988	THAP3	941	1434	1702	1495	1112	1244	1429	1402	1191	2647	3445	1304	960	1238	3311	3939
ENSG00000007923	DNAJC11	1941	1685	1952	1702	1864	1898	2358	1786	2972	2093	3010	759	2774	2798	3963	2138
ENSG00000228750	LINC01672	0	0	1	0	0	0	3	1	0	1	3	0	0	0	2	2
ENSG00000284744	AL591163.1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0
ENSG00000237436	CAMTA1-DT	71	75	92	107	59	73	88	65	85	161	241	76	50	80	250	224
ENSG00000171735	CAMTA1	3002	3681	4213	3251	2908	3025	3382	3287	3638	5343	6294	2385	3077	3473	7984	7937
ENSG00000227950	AL590128.1	3	0	1	2	2	2	0	2	3	10	4	5	3	2	2	1
ENSG00000237365	AL512330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	RNU1-8P	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
ENSG00000237402	CAMTA1-IT1	0	0	1	0	0	1	1	2	0	3	4	1	0	1	0	3
ENSG00000237728	Z97987.1	0	0	0	1	0	0	1	0	0	2	0	1	1	1	3	0
ENSG00000225126	AL365194.1	2	1	0	2	3	1	1	0	0	1	4	1	0	1	8	3
ENSG00000270171	AL359881.3	7	10	5	2	3	0	8	3	3	17	14	2	5	8	8	3
ENSG00000270035	AL359881.2	42	50	39	36	28	30	59	48	38	66	68	27	34	44	80	84
ENSG00000269978	AL359881.1	32	45	46	50	31	41	41	57	32	57	62	26	36	45	64	105
ENSG00000049245	VAMP3	5114	5218	5429	4153	3924	3807	4512	4114	6293	5543	8140	2394	5120	4997	11274	8328
ENSG00000269925	Z98884.2	12	15	5	13	12	10	22	10	19	34	7	7	20	9	32	23
